question,answer,score
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral nilai budaya nilai sosial,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi bagian pembuka yang memberi gambaran umum isi cerita biasanya untuk menarik perhatian prientasi bagian yang mengenalkan latar belakang seperti siapa tokohnya kapan dan dimana peristiwa terjadi krisis momen puncak konflik atau masalah yang membuat arti lucu dan reaksi tanggapan atau respon tokoh terhadap krisis seringkali disajikan dengan cara yang tidak terduga koda penutup cerita yang berisi kesimpulan pesan moral atau sindiran bagian bersikap opsional,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,menjaga toleransi menolong dan membantu orang sakit,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho menceritakan suatu cerita yang dibuat,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,eksposisi orientasi komplikasi permsalahan kimakas resolusi koda,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang untuk menyampaikan hasil laporan,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur lucu mengeritik atau sindiran,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan fakta hasil pengamatan,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,sastra lama baku,0
sebutkan tiga ciri utama dari teks laporan hasil observasi,klasifikasi bagian manfaat,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,alur cerita tema gambaran,0
sebutkan tiga ciri utama dari teks laporan hasil observasi,brsifat faktual bersifat objektif disajikan scara sistematis,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,muslim,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,fakta teratur dan jelas bahasa baku,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi peristiwa penting,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pengantar isi pristiwa penutup,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif disusun sistematis ditulis berdasarkan fakta,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,menggunakan bahasa melayu lama menceritakan sosok pahlawan tokoh terkenal,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,teks yang berisi tentang aneka lucu serta pelajaran penting,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,ciri cirnya ada pada kalimat pertamanya,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi komplikasi elaqsi koda,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mengandung unsur fantastis tokoh digambarkan luar biasa,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak orientasi krisi rekasi koda,5
sebutkan dua ciri yang selalu ada dalam teks anekdot,karya sastra lama,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,salah satu bentuk karya sastra,0
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita tradisional tentang tokoh luar biasa dengan unsur positif,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,objek orientasi pengenalan konplikasi konfik peristiwa resolusi penyelesaian kode penutupan,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks lho adalah teks laporan observasi menjelaskan arti umum dari suatu objek hasil pengamatan langsung,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra lama yang berisi cerita tntang tokoh tokoh sprti raja putri dll,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran awal isi cerita orientasi latar serta pengenalan tokoh krisis puncak suatu masalah reaksi tanggapan cara tokoh menghadapi masalah koda penutup dan kesimpulan,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,adalah teks yg berisi laporan hasil dari pengamatan observasi,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka orientasi mengenalkan kritik masalah reaksi penyelesaian koda penutupan,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,teks gambar karya sastra lama laporan hasil pesan atau nilai,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,,0
