sentence,label
kopi studio yang paling nyaman dari pelayanan hingga suasananya,neutral
jujur ekspektasi tinggi lihat reviewnya ternyata sangat berlebihan benar sih rame tapi dampaknya nguleg sambel buru buru ranti sampai masih bentuk tomat enggak ke uleg rebutan lauk karena dipajang lauk beberapa dipegang orang yang antri pelayanan terutama yang bikin minum sangat sangat tidak ramah tanya baik baik sabun cuci tangan dimana jawabnya ya allah kayak kita ini makan enggak bayar sok untuk kami pertama dan terakhir mari cari lain yang lebih ramah,negative
kali shoppe makanan pesan lvl selalu dikasih tingkat smpk kemarin pun mencoba makan ini pesan tingkat dikasih nya tingkat kecewa sekali seharusnya kalo lvl nya enggak availeble konfirm dong,negative
tempat bagus harga bersahabat buat anak kost selain itu pelayanan juga cepat hanya satu saran saya ayam renyah nya jangan terlalu asin,negative
pelayananya bagus karyawanya ramah dantempatnya nyaman,neutral
murah tapi pelayanan lama enggak sesuai permintaan pesanannya rasa sambal hijau pahit,negative
bakso atas dengan kuah enak dan berasa,positive
tempatnya nayaman keren enak luas pelayanannya juga cepat,positive
pernah makan disini pesan gacoan lvl aman saja tapi baru kemarin jam tanggal maret saya dan pacar saya sama sama diare padahal pacar saya pesan hompimpa lvl yang enggak pedas saya tetap gacoan lvl,negative
makanan murah dan enak bernilai tapi beli jam apa lagi buat nugas enak bisa penuh sampai selesai cuman ranjau nya agak kecil tempatnya jadi kalau rame otomatis penuh lantai nya,positive
mantap dapat promo beli mendapatkan kopi studio juara banget,positive
tempat makan ayam geprek ini memang juara ayamnya empuk dengan kriuk yang pas dan sambalnya punya tingkat pedas yang bisa disesuaikan pokoknya nikmat banget selain itu tempatnya juga bersih dan tertata rapi bikin betah dan nyaman saat menyantap makanan,positive
maaf sudah x makan disini dapat mie yang overcook pangsitnya juga rada asem sepertinya dari segi rasa ada perubahan kalau segi rasa selera masing tapi kalau tingkat kematangan mie menurutku perlu diperbaiki karena menu utama ditempat ini mienya dan kebersihan alat makannya juga mohon diperhatikan terimakasih,negative
untuk waktu pemasakan harus diperbaiki lagi agar tidak terlalu lama dan tidak adanya penyerobotan saat antri,neutral
kami pesan untuk makan di tempat saya tidak pernah menyebutkan udang rambutan tapi di notta tertera udang rambutan saat membacakan ulang pesanan sangat cepat sehingga kami tidak begitu jeli pada saat kami mengadu bahwa kami tidak pernah pesan udang ranbutan kasir bilang bahwa pesanan tidak bisa di batalkan awal mula kesalahan kan bukan terletak pada kami kasir yang salah masukan kami tidak pernah menyebutkan udang rambutan kenapa kami yang harus menanggungnya saran saja untuk kasir jika bacakan ulang pesanan jangan terlalu cepat kami tau itu ya dari struk di dikte sebegitu cepat mana jeli kami cari kasir yang profesional tolong diperbaiki sitem pesanannya,neutral
parah banget sudah menit belum selesai juga enggak bernilai itu banget buat kalean yang lagi laper terus beli makan di sini oiya disini saya beli untuk di bungkus ya,negative
apakah kamu sedang tidur katanya jam tapi grabfood tidak menerima saya lapar,neutral
harga terjangkau,neutral
kecewa banget sama kak mawar sekarang biasanya saya beli mawar sayap disini enggak sekecil ini kok sekarang dikasihnya sekecil ini bumbu nya juga dikit banget kecewaa,negative
sebenarnya sih tempat favorit untuk kumpul bersama keluarga dan teman teman cuman membuat lama membuat rame jadi kebersihan dan kenyamanan jadi kurang terkontrol banyak sampah bekas pelanggan lain mungkin gara gara over dan pegawai enggak sempat naik mungkin bisa buat masukan untuk menyediakan tempat sampai di atas buat pelanggan selesai dan tempat untuk menaruh tempat makanan,neutral
tempatnya dkt jalan raya depan pasar benculuk sambel nya mantap banyak pilihan lauknya harga pas atas deh pokok nya,positive
sangat buruk baru ini makan mie rasa bubur benar benar lembek bahkan di sumpit saja sulit,negative
sudah lama sejak terakhir kali aku pulang dari malang bolehkah aku ke sini lagi sedekat ini dengan rumah jangan aku akan pesan prasmanan sesukamu,neutral
total sama es teh,neutral
terbaik gacoan yang pernah saya kunjungi,neutral
banyak promosi asik buat anak kos ada wifinya juga enak buat nugas,neutral
salah satu yang direkomendasiin sama orang orang sambel tempongnya enak sayuran rebusnya juga manis tempenya enak masih hangat baru diangkat dari penggorengan tapi untuk lauk lain semua sudah dingin pilihan lauknya banyak beragam sambelnya pedas mantap kalo enggak kuat pedas meminta pisah saja tempatnya juga cukup luas tapi kebanyakan orang kayaknya ambil jauh tapi kekurangannya mungkin karena ngambil lauk dan condiment lain tuh pakai tangan semua lebih higienis sebenarnya menggunakan alat capit atau itu memang semacam penyajian khas dari nasi tempong,negative
orderan saya datang nya lama karyawan nya juga kelihatan linglung saran saya lek ngantuk mending turu,neutral
tidak pernah ada sebelumnya warung bakso yang buka jam awalnya pesimis karena takut bakso yang dijual tidak segar namun dugaan saya ternyata salah bakso nya masih segar dan sangat lembut kuah juga dijaga benar benar panas walaupun mungkin jika datang malam hari pilihan menunya lumayan sedikit namun sangat sangat disarankan,positive
