review,food_quality,service,price
suasananya adem makanan enak suka banget,positive,positive,neutral
mau Sayang. di info parkiran nya kok kayak di moll kadang sepeda motor di hati mobil juga enggak bisa masuk pasal mau masuk ke dikici intinya bikin macet enak yang kayak dulu sekarang ribet bikin terbaru baju jalan,neutral,negative,neutral
penyajian cepat tempat bersih dan makanan enak,positive,positive,neutral
pesan di shopefood menunggu proses nyiapinnya jam sudah gila Kali padahal jarak cuma m,neutral,negative,neutral
makanan murah,neutral,neutral,positive
dulu jadi tempat favorit buat nongkrong karena pancong yang lumer tanpa diminta stgah matang kopi yang mantab meski cuma beli mendapatkan pelayanan yang sangat ramah dan duduklah set tapi sekarang rupanya hanya tinggal kenangan,positive,positive,neutral
tempatnya luas sejuk juga pelayanannya juga cepat,neutral,positive,neutral
enak banget tempatnya memadai dan nyaman terbaik disarankan bakso keju,positive,neutral,neutral
tempatnya nyaman dan bersih pelayannya ramah kopinya enak dan mutah banget,positive,positive,neutral
selalu mengadakan promo kopi beli mendapatkan harganya cuma buat yang di sigura gura kopi yang freenya tetap enak enggak encer kayak di suhat disini tempantnya nyaman Ada lantai dan lantai lantai Ada indoor dan outdoor cocok banget buat mengobrol santai maupun ngerjain tugas kue pancong dan cirengnya rekomendasi banget,positive,positive,positive
Lama banget nganter makanan nya sudah hampir mau sejam sedangkan kita juga diburu waktu istirahat,neutral,negative,neutral
tempatnya nyaman dingin pelayanannya ramah terimakasih,neutral,positive,neutral
nasi lalapan dengan sambal mentah enak murah selalu ramai dan buka sampai malam,positive,neutral,positive
makanan enak dan pelayanan bagus,positive,positive,neutral
kiw mbak putri semangat kerjanya tempatnya nyaman buat nugas gepreknya mantap sekali,positive,positive,neutral
tempatnya nyaman homie pelayanan nya bagus ramah harga nyaman di kantong disarankan deh,neutral,positive,positive
enak cuma pelayanannya agak Lama harga terjangkau,positive,negative,positive
tempat favorit buat nugas karena harganya sangat ramah di kantong dan rasanya enakk cuma tempatnya agak sempit jadi sering penuh tapi keseluruhan sangat enak sih menu favoritnya tetap pancong,positive,neutral,positive
