sentence,label
murah enak cepat cara pesan simpel tanpa antri,positive
rasanya nendang rekomendasi buat yang suka pedas,neutral
tempatnya nyaman dan asri buat nugas rekomendasi banget bagi mahasiswa dll,positive
tempatnya nyaman karyawannya ramah,positive
makanannya enak tempatnya nyaman,positive
pelayanan tidak jelas antrean utama serobot banyak karyawan tapi kalo di tanyakan ngang ngong ngang ngong,negative
menu sayap ganda dan ayam pedas alas korea ini memang tidak utama utama bikin lapar tapi rasanya pantas untuk diulang,neutral
enakk banget ayam sambel matahnya woii kayak ayam mahal padahal cuman k an cuman nasinya aga kurang banyak saja buat porsiku ahahaha,neutral
untuk jukir kok sekarang kayak mol bikin macet enak yang dulu bisa mengerjakan warga dan enggak bikin macet masak mobil di cut bahujalanngak boleh taruk dalam dan tarif sepeda motor kok mahal,negative
mie gacoan dengan ambience terbaik sayang enggak bksa urutan lewat qr kode padahal di mie gacoan lain sidah pakai antriannya luar biasa panjang walaupun sudah diberi batas antrian tetap saja bikin jengkel suasana boleh baru tapi pelayanan sistem antriannya masih lama,negative
mbak mas awak nya ramah banget makanannya hangat sambelnya pedas mantap semua bintang pokoknya,positive
tempat andalan buat nugas semua minuman menu beli mendapatkan pancongnya juga juara puoll cocok buat kantong mahasiswa gasskeunn kesini,positive
kebersihan kurang banget banyak lalat dan berasa kena getok karena tidak dikasih struk tau au suruh bayar rbkeyboard key name pas mau bayar qris enggak boleh mungkin takut ketahuan harga aslinya kayakny,negative
enak sih tapi kebersihannya kurang banget piring penuh sidik jari wadah dimsum yang entah kapan terakhir kali nyuci,negative
kopi konsepnya kayak kafe kafe untuk anak muda nyaman buat nongkrong dan menunya banyak banget buat pencinta kopi dan cemilan tempat ini rekomendasi,positive
tempatnya nyaman pelayanan ramah menunya recomended,positive
rasa makanan enak namun untuk kebersihan meja mungkin perlu ditingkatkan atau diganti karena muncul kecoa kecil dari sela meja dari dalam pecahan kayunya,negative
mantap bersih cepat dan ramah pasti nya,positive
kasirnya baik ramah,positive
pelayanannya manjalita cocok meong,positive
tolong ya buat menegernya titik untuk shopefood di perbaiki masa titiknya di roti gembol gembul,negative
tempat nyamann pelayanan bagus rekomendasi banget buat nugas nongki bareng teman atau pacar,positive
pelayanan ramah makanan dan minuman rasa lebih dari enak,positive
mbak kasirnya enggak fokus kebanyakan tiktokan beli ganda mawar sayap dikasih ayam krispi lama juga nunggunya,negative
pelayanan lamaa hanya minuman pengandar bisa menunggu menit,negative
bagus untuk res makanan untuk mampir dalam perjalan,neutral
untuk pelayanan dan penyajian cepat dan suasana yang nyaman hanya saja untuk kursi bayi tersedia terbatas mungkin bisa di tambah,positive
bersih tempatnya,positive
minuman langganan aku aku favorit banget sama dcream dan melati sumpah beda banget sama yang lain pokoknya suka banget aku kesini,neutral
bagus pelayanannya ramah mbak nya cantik layanan oke makanan murah andalan untuk nugas wajib coba,positive
rekomen banget buat nongki makanann dan minumanyaa juga enak ramah dikantong,positive
suka menerima karyawannya okee banget gerak cepat meskipun rame dan informatif banget mana harganya sangat amat ramah di kantong mahasiswa di akhir bulan enggak sia antre lamaa yuhu,positive
cepat respon dan aman dikantong buat jomblo yang belum kerja disarankan,positive
mntp sekali suka banget yang panas lava nya pelayanannya juga baik dan cepat sekali,positive
tempatnya pw banget entah buat nongkrong ataupun nugas makanannya super enakk wajib kesini si kalo mau nugas,neutral
menu murah tapi tempat enggak tepat ac bocor dibiarkan saja akhirnya menggenang di lantai sudah begitu sampah dari cust sebelumnya juga enggak dibersihin diatas meja,negative
banyak pilihan menu tambahannya sambel bisa permintaan kepedasannya,positive
tempat bersih pelayanannya juga ramah,positive
menu apapun selalu kosong enggak sekali dia kali tolong untuk pelayanannya ditingkatkan,negative
untuk makanannya enak pelayanan juga lumayan cepat untuk suasanannya cukup bagi saya pokok rekomen banget ke gacoan sukun,positive
lama sekali menunggu setengah jam enggak kelar,negative
cukup puas dengan pelayanannya tetapi terkadang harus menunggu lama,neutral
saya beli minuman lewat ojol pas sampai ternyata cangkir bocor dan ojol tidak bisa tanggung jawab mohonn diperbaiki lagi untuk kedepannya soalnya saya sering beli dan sering terjadi cangkir bocor,negative
layak makananannya pelayannya kurang cekatan dan kurang profesional masih kayak bingung menu saja datangnya lama padahal datang pas posisi sepi untuk tempongnya mantap,negative
tempatnya keren adem makanan minuman enak murah keren deh pokoknya disarankan,neutral
kalo mau makan dengan anggaran minim traktir teman bisa nih baik disarankan,neutral
mantap rekomendasi sih tempatnya dan bagus ya,neutral
pelayanan ramah makanannyaa enak dan tempatnyaa bersih,positive
